"統計名：","平成28年社会生活基本調査 調査票Ａに基づく結果 生活時間に関する結果 生活時間編（全国）"
"表番号：","1-1"
"表題：","曜日,男女,ふだんの就業状態,スマートフォン・パソコンなどの使用時間,年齢,行動の種類別総平均時間(15歳以上)－全国"
"実施年月：","2016年","10月"

"表章項目","曜日4_071_2016A","男女3_001_2016A","時間軸(年次)","ふだんの就業状態9_007_2016A","スマートフォン・PCなどの使用時間8_085_2016A","年齢20_002_2016A","/行動の種類24_074_2016A","サンプルサイズ","推定人口【千人】","00_総数【分】","01_睡眠【分】","02_身の回りの用事【分】","03_食事【分】","04_通勤・通学【分】","05_仕事【分】","06_学業【分】","07_家事【分】","08_介護・看護【分】","09_育児【分】","10_買い物【分】","11_移動(通勤・通学を除く)【分】","12_テレビ・ラジオ・新聞・雑誌【分】","13_休養・くつろぎ【分】","14_学習・自己啓発・訓練(学業以外)【分】","15_趣味・娯楽【分】","16_スポーツ【分】","17_ボランティア活動・社会参加活動【分】","18_交際・付き合い【分】","19_受診・療養【分】","20_その他【分】","R1_（再掲）１次活動【分】","R2_（再掲）２次活動【分】","R3_（再掲）３次活動【分】"
"総平均時間","1_週全体","0_総数","2016年","12_家事などのかたわらに仕事","25_12時間以上","12_70～74歳","","2","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"総平均時間","1_週全体","0_総数","2016年","12_家事などのかたわらに仕事","25_12時間以上","13_75～79歳","","2","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"総平均時間","1_週全体","0_総数","2016年","12_家事などのかたわらに仕事","25_12時間以上","14_80～84歳","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"総平均時間","1_週全体","0_総数","2016年","12_家事などのかたわらに仕事","25_12時間以上","15_85歳以上","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"総平均時間","1_週全体","0_総数","2016年","12_家事などのかたわらに仕事","25_12時間以上","R1_(再掲)20歳以上","","213","77","1,440","433","75","85","12","156","2","122","12","40","38","40","113","108","3","128","6","1","19","2","48","592","381","467"
"総平均時間","1_週全体","0_総数","2016年","12_家事などのかたわらに仕事","25_12時間以上","R3_(再掲)65歳以上","","10","1","1,440","444","104","136","-","8","3","74","2","-","14","328","81","26","9","177","-","-","11","-","22","685","101","655"
"総平均時間","1_週全体","0_総数","2016年","12_家事などのかたわらに仕事","25_12時間以上","R4_(再掲)75歳以上","","2","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"総平均時間","1_週全体","0_総数","2016年","13_通学のかたわらに仕事","0_総数","00_総数","","4,477","2,283","1,440","465","78","85","75","132","228","9","0","1","15","34","46","113","23","69","15","3","28","3","17","628","460","351"
"総平均時間","1_週全体","0_総数","2016年","13_通学のかたわらに仕事","0_総数","01_15～19歳","","2,157","903","1,440","459","79","83","76","112","250","7","0","0","15","34","51","118","20","62","18","3","29","4","21","621","461","359"
"総平均時間","1_週全体","0_総数","2016年","13_通学のかたわらに仕事","0_総数","02_20～24歳","","2,086","1,271","1,440","472","77","86","75","141","215","9","0","0","15","34","41","111","25","74","14","3","29","2","15","635","455","350"
"総平均時間","1_週全体","0_総数","2016年","13_通学のかたわらに仕事","0_総数","03_25～29歳","","116","68","1,440","451","70","93","76","152","219","12","0","8","29","27","57","117","9","99","8","2","4","0","5","615","497","328"
"総平均時間","1_週全体","0_総数","2016年","13_通学のかたわらに仕事","0_総数","04_30～34歳","","34","14","1,440","371","202","77","69","238","161","31","3","35","28","10","39","62","86","18","2","5","1","1","0","650","566","224"
"総平均時間","1_週全体","0_総数","2016年","13_通学のかたわらに仕事","0_総数","R2_(再掲)35歳以上","","84","28","1,440","430","98","103","80","244","140","56","0","1","20","23","88","64","32","16","16","-","9","5","14","632","541","267"
"総平均時間","1_週全体","0_総数","2016年","13_通学のかたわらに仕事","1_使用しなかった","00_総数","","334","140","1,440","486","70","74","67","146","256","13","0","3","23","33","63","100","13","39","12","2","23","3","15","629","508","303"
"総平均時間","1_週全体","0_総数","2016年","13_通学のかたわらに仕事","1_使用しなかった","01_15～19歳","","160","56","1,440","478","69","71","73","125","213","18","0","3","40","37","82","89","11","65","13","3","32","5","12","618","473","349"
"総平均時間","1_週全体","0_総数","2016年","13_通学のかたわらに仕事","1_使用しなかった","02_20～24歳","","118","67","1,440","494","74","73","65","149","313","2","-","1","8","36","30","111","11","22","7","-","23","-","22","640","538","262"
"総平均時間","1_週全体","0_総数","2016年","13_通学のかたわらに仕事","1_使用しなかった","03_25～29歳","","23","9","1,440","450","63","73","47","220","147","65","-","8","37","12","80","119","51","35","27","7","-","-","-","586","523","331"
"総平均時間","1_週全体","0_総数","2016年","13_通学のかたわらに仕事","1_使用しなかった","04_30～34歳","","1","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"総平均時間","1_週全体","0_総数","2016年","13_通学のかたわらに仕事","1_使用しなかった","R2_(再掲)35歳以上","","32","8","1,440","497","58","129","34","151","118","93","-","-","33","7","263","28","-","9","1","-","2","11","5","685","429","326"
"総平均時間","1_週全体","0_総数","2016年","13_通学のかたわらに仕事","2_使用した","00_総数","","4,143","2,144","1,440","463","79","86","76","131","226","9","0","1","15","34","45","114","24","71","16","3","28","3","17","628","457","355"
"総平均時間","1_週全体","0_総数","2016年","13_通学のかたわらに仕事","2_使用した","01_15～19歳","","1,997","847","1,440","458","80","83","76","111","253","7","0","0","13","33","48","120","20","62","18","3","28","4","22","621","460","359"
"総平均時間","1_週全体","0_総数","2016年","13_通学のかたわらに仕事","2_使用した","02_20～24歳","","1,968","1,204","1,440","471","77","87","75","141","210","9","0","0","15","34","41","111","26","77","15","3","30","2","15","635","450","355"
"総平均時間","1_週全体","0_総数","2016年","13_通学のかたわらに仕事","2_使用した","03_25～29歳","","93","59","1,440","447","73","97","77","141","222","5","0","9","29","31","58","118","4","111","5","1","5","0","6","617","484","339"
"総平均時間","1_週全体","0_総数","2016年","13_通学のかたわらに仕事","2_使用した","04_30～34歳","","33","13","1,440","370","202","77","70","241","159","31","3","35","28","10","39","62","85","18","2","5","1","1","0","649","568","223"
"総平均時間","1_週全体","0_総数","2016年","13_通学のかたわらに仕事","2_使用した","R2_(再掲)35歳以上","","52","21","1,440","404","103","111","73","231","104","57","0","1","23","40","55","69","96","19","18","-","16","0","20","617","489","334"
"総平均時間","1_週全体","0_総数","2016年","13_通学のかたわらに仕事","21_１時間未満","00_総数","","317","150","1,440","455","91","95","77","148","201","12","1","0","20","34","43","109","50","35","19","2","18","5","24","641","459","340"
"総平均時間","1_週全体","0_総数","2016年","13_通学のかたわらに仕事","21_１時間未満","01_15～19歳","","121","47","1,440","442","83","94","110","102","214","6","-","-","25","38","34","89","72","31","24","2","14","10","51","619","457","364"
"総平均時間","1_週全体","0_総数","2016年","13_通学のかたわらに仕事","21_１時間未満","02_20～24歳","","164","91","1,440","468","85","92","76","173","207","8","1","-","16","31","40","120","39","37","12","3","20","1","11","645","481","314"
"総平均時間","1_週全体","0_総数","2016年","13_通学のかたわらに仕事","21_１時間未満","03_25～29歳","","10","4","1,440","436","92","122","61","101","347","14","-","36","18","16","38","91","10","22","20","-","8","-","8","650","577","213"
"総平均時間","1_週全体","0_総数","2016年","13_通学のかたわらに仕事","21_１時間未満","04_30～34歳","","7","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"総平均時間","1_週全体","0_総数","2016年","13_通学のかたわらに仕事","21_１時間未満","R2_(再掲)35歳以上","","15","7","1,440","374","178","103","90","227","105","86","-","2","32","17","78","35","39","17","38","-","4","-","14","655","542","243"
"総平均時間","1_週全体","0_総数","2016年","13_通学のかたわらに仕事","22_１～３時間未満","00_総数","","1,206","619","1,440","462","85","89","74","144","242","9","0","1","14","34","45","93","25","55","15","6","26","3","17","636","483","320"
"総平均時間","1_週全体","0_総数","2016年","13_通学のかたわらに仕事","22_１～３時間未満","01_15～19歳","","544","231","1,440","446","87","88","78","118","269","5","0","0","14","36","49","109","20","48","17","4","24","2","27","620","484","336"
"総平均時間","1_週全体","0_総数","2016年","13_通学のかたわらに仕事","22_１～３時間未満","02_20～24歳","","599","362","1,440","476","84","91","70","154","224","10","0","0","13","34","42","82","28","61","14","8","30","5","14","651","472","317"
"総平均時間","1_週全体","0_総数","2016年","13_通学のかたわらに仕事","22_１～３時間未満","03_25～29歳","","26","12","1,440","468","93","86","95","181","271","5","1","24","9","23","68","79","-","19","1","-","-","1","15","647","586","207"
"総平均時間","1_週全体","0_総数","2016年","13_通学のかたわらに仕事","22_１～３時間未満","04_30～34歳","","17","8","1,440","399","104","90","63","268","154","48","4","52","38","5","33","74","65","22","9","5","4","2","-","594","628","218"
"総平均時間","1_週全体","0_総数","2016年","13_通学のかたわらに仕事","22_１～３時間未満","R2_(再掲)35歳以上","","20","6","1,440","401","70","128","110","245","149","53","1","-","24","9","25","153","26","4","16","-","11","-","16","599","581","260"
"総平均時間","1_週全体","0_総数","2016年","13_通学のかたわらに仕事","23_３～６時間未満","00_総数","","1,321","736","1,440","465","76","84","77","134","236","9","0","0","15","32","40","118","22","73","19","1","21","2","15","625","471","345"
"総平均時間","1_週全体","0_総数","2016年","13_通学のかたわらに仕事","23_３～６時間未満","01_15～19歳","","647","268","1,440","456","82","83","73","118","274","8","0","0","10","29","47","115","17","61","25","3","21","4","15","621","482","337"
"総平均時間","1_週全体","0_総数","2016年","13_通学のかたわらに仕事","23_３～６時間未満","02_20～24歳","","624","428","1,440","472","74","84","79","135","214","10","0","0","18","34","37","121","27","79","17","0","23","0","15","630","457","353"
"総平均時間","1_週全体","0_総数","2016年","13_通学のかたわらに仕事","23_３～６時間未満","03_25～29歳","","32","31","1,440","455","56","96","83","160","230","9","-","6","25","16","32","151","-","108","5","3","3","-","1","607","513","320"
"総平均時間","1_週全体","0_総数","2016年","13_通学のかたわらに仕事","23_３～６時間未満","04_30～34歳","","7","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"総平均時間","1_週全体","0_総数","2016年","13_通学のかたわらに仕事","23_３～６時間未満","R2_(再掲)35歳以上","","11","6","1,440","374","77","86","40","353","115","51","-","4","23","104","30","75","18","11","6","-","35","2","37","537","587","317"
"総平均時間","1_週全体","0_総数","2016年","13_通学のかたわらに仕事","24_６～12時間未満","00_総数","","888","440","1,440","469","74","82","77","104","203","9","0","0","14","38","56","130","19","92","12","2","42","5","12","625","408","407"
"総平均時間","1_週全体","0_総数","2016年","13_通学のかたわらに仕事","24_６～12時間未満","01_15～19歳","","479","217","1,440","469","75","80","83","92","236","9","-","0","14","36","56","130","18","72","10","1","41","6","12","625","434","381"
"総平均時間","1_週全体","0_総数","2016年","13_通学のかたわらに仕事","24_６～12時間未満","02_20～24歳","","391","215","1,440","469","66","84","73","118","175","8","0","0","14","39","53","130","20","117","13","2","43","5","12","619","388","433"
"総平均時間","1_週全体","0_総数","2016年","13_通学のかたわらに仕事","24_６～12時間未満","03_25～29歳","","12","5","1,440","453","92","91","63","44","156","3","-","-","67","72","78","216","7","42","18","-","27","-","12","636","332","472"
"総平均時間","1_週全体","0_総数","2016年","13_通学のかたわらに仕事","24_６～12時間未満","04_30～34歳","","2","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"総平均時間","1_週全体","0_総数","2016年","13_通学のかたわらに仕事","24_６～12時間未満","R2_(再掲)35歳以上","","4","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"総平均時間","1_週全体","0_総数","2016年","13_通学のかたわらに仕事","25_12時間以上","00_総数","","341","158","1,440","472","72","82","72","128","190","3","0","-","11","26","38","141","17","99","12","6","38","0","33","626","404","411"
"総平均時間","1_週全体","0_総数","2016年","13_通学のかたわらに仕事","25_12時間以上","01_15～19歳","","173","69","1,440","468","69","80","59","119","188","3","-","-","11","27","36","156","15","112","17","8","35","-","36","617","380","443"
"総平均時間","1_週全体","0_総数","2016年","13_通学のかたわらに仕事","25_12時間以上","02_20～24歳","","153","82","1,440","477","78","85","86","133","200","4","1","-","10","24","40","121","20","78","7","5","39","1","32","639","434","367"
"総平均時間","1_週全体","0_総数","2016年","13_通学のかたわらに仕事","25_12時間以上","03_25～29歳","","13","6","1,440","385","36","84","79","190","102","0","-","-","33","53","54","149","13","251","10","-","-","-","-","505","404","531"
"総平均時間","1_週全体","0_総数","2016年","13_通学のかたわらに仕事","25_12時間以上","04_30～34歳","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"総平均時間","1_週全体","0_総数","2016年","13_通学のかたわらに仕事","25_12時間以上","R2_(再掲)35歳以上","","2","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"総平均時間","1_週全体","0_総数","2016年","2_無業者","0_総数","00_総数","","129,064","40,174","1,440","480","88","111","11","6","55","128","7","20","33","30","201","113","18","57","19","6","18","14","27","679","259","502"
"総平均時間","1_週全体","0_総数","2016年","2_無業者","0_総数","01_15～19歳","","14,925","4,792","1,440","459","70","87","60","7","362","6","0","1","9","21","57","114","53","63","36","2","14","3","16","616","446","378"
"総平均時間","1_週全体","0_総数","2016年","2_無業者","0_総数","02_20～24歳","","3,134","1,720","1,440","490","80","92","49","19","214","22","1","14","21","28","65","125","41","104","18","4","26","5","21","663","341","437"
"総平均時間","1_週全体","0_総数","2016年","2_無業者","0_総数","03_25～29歳","","1,956","983","1,440","492","75","94","8","9","60","99","5","130","27","31","79","115","43","101","5","2","23","6","37","662","337","441"
"総平均時間","1_週全体","0_総数","2016年","2_無業者","0_総数","04_30～34歳","","2,586","1,161","1,440","472","82","95","3","3","8","157","6","185","36","34","87","121","18","69","5","2","14","14","30","648","398","394"
"総平均時間","1_週全体","0_総数","2016年","2_無業者","0_総数","05_35～39歳","","3,210","1,297","1,440","467","82","97","3","2","3","204","6","151","41","38","105","105","16","50","6","4","23","10","27","646","410","384"
"総平均時間","1_週全体","0_総数","2016年","2_無業者","0_総数","06_40～44歳","","3,434","1,401","1,440","461","89","99","2","5","3","231","8","84","46","38","124","111","14","59","8","4","16","12","26","649","378","412"
"総平均時間","1_週全体","0_総数","2016年","2_無業者","0_総数","07_45～49歳","","3,090","1,165","1,440","435","91","99","2","5","2","228","11","21","52","39","161","124","18","67","10","6","16","15","37","626","321","493"
"総平均時間","1_週全体","0_総数","2016年","2_無業者","0_総数","08_50～54歳","","3,142","1,060","1,440","438","89","106","2","3","1","229","9","4","50","35","198","120","15","55","10","3","19","22","33","633","298","509"
"総平均時間","1_週全体","0_総数","2016年","2_無業者","0_総数","09_55～59歳","","4,381","1,373","1,440","439","88","104","2","2","2","225","19","8","47","34","225","103","12","49","11","5","18","13","35","630","304","505"
"総平均時間","1_週全体","0_総数","2016年","2_無業者","0_総数","10_60～64歳","","9,244","2,641","1,440","444","87","111","1","4","0","188","14","7","45","42","245","93","12","58","18","9","19","12","31","642","259","539"
"総平均時間","1_週全体","0_総数","2016年","2_無業者","0_総数","11_65～69歳","","19,044","5,219","1,440","459","86","116","2","5","1","160","9","6","42","36","257","89","13","64","25","9","20","11","30","661","225","554"
"総平均時間","1_週全体","0_総数","2016年","2_無業者","0_総数","12_70～74歳","","17,364","4,917","1,440","474","92","122","1","6","1","142","5","4","39","33","259","93","10","60","26","9","20","14","28","688","198","553"
"総平均時間","1_週全体","0_総数","2016年","2_無業者","0_総数","13_75～79歳","","16,895","4,866","1,440","491","95","124","2","6","1","131","6","2","37","27","264","106","9","51","21","7","19","17","26","710","184","546"
"総平均時間","1_週全体","0_総数","2016年","2_無業者","0_総数","14_80～84歳","","14,229","3,970","1,440","519","96","127","1","5","0","114","6","1","29","22","261","131","9","42","14","5","15","20","25","742","156","542"
"総平均時間","1_週全体","0_総数","2016年","2_無業者","0_総数","15_85歳以上","","12,430","3,608","1,440","568","98","124","1","4","1","73","5","1","16","15","256","167","7","28","5","2","12","30","27","790","101","549"
"総平均時間","1_週全体","0_総数","2016年","2_無業者","0_総数","R1_(再掲)20歳以上","","114,139","35,382","1,440","483","90","114","4","5","14","144","7","23","36","31","221","112","14","57","16","6","18","15","28","688","234","518"
"総平均時間","1_週全体","0_総数","2016年","2_無業者","0_総数","R3_(再掲)65歳以上","","79,962","22,581","1,440","497","93","122","1","5","1","128","6","3","34","28","259","114","10","51","19","7","18","17","27","712","178","549"
"総平均時間","1_週全体","0_総数","2016年","2_無業者","0_総数","R4_(再掲)75歳以上","","43,554","12,444","1,440","522","96","125","1","5","1","109","6","1","28","22","260","132","8","41","14","5","16","21","26","743","151","546"
"総平均時間","1_週全体","0_総数","2016年","2_無業者","1_使用しなかった","00_総数","","81,858","22,892","1,440","500","92","119","4","5","15","130","7","6","33","25","250","118","9","43","16","5","16","18","28","711","201","528"
"総平均時間","1_週全体","0_総数","2016年","2_無業者","1_使用しなかった","01_15～19歳","","2,291","682","1,440","491","71","86","54","6","388","6","0","1","8","17","62","112","49","34","25","1","6","3","20","648","462","329"
"総平均時間","1_週全体","0_総数","2016年","2_無業者","1_使用しなかった","02_20～24歳","","447","233","1,440","520","78","98","46","18","230","24","0","17","18","18","97","108","25","50","15","13","19","8","37","696","354","390"
"総平均時間","1_週全体","0_総数","2016年","2_無業者","1_使用しなかった","03_25～29歳","","354","149","1,440","506","100","101","14","3","96","51","7","67","22","30","110","186","19","34","4","0","18","14","58","707","261","472"
"総平均時間","1_週全体","0_総数","2016年","2_無業者","1_使用しなかった","04_30～34歳","","478","208","1,440","509","88","99","7","5","19","99","8","69","23","19","149","191","12","61","5","0","5","21","49","697","231","513"
"総平均時間","1_週全体","0_総数","2016年","2_無業者","1_使用しなかった","05_35～39歳","","674","248","1,440","499","82","103","2","4","1","160","11","85","36","27","171","114","22","50","2","2","17","8","42","684","299","456"
"総平均時間","1_週全体","0_総数","2016年","2_無業者","1_使用しなかった","06_40～44歳","","895","322","1,440","510","96","106","3","7","0","194","3","57","39","34","177","100","8","39","10","1","9","14","34","712","302","426"
"総平均時間","1_週全体","0_総数","2016年","2_無業者","1_使用しなかった","07_45～49歳","","1,049","342","1,440","471","101","96","2","1","3","163","9","8","52","36","220","145","18","42","7","5","12","13","36","668","238","534"
"総平均時間","1_週全体","0_総数","2016年","2_無業者","1_使用しなかった","08_50～54歳","","1,209","348","1,440","467","87","105","1","4","0","191","14","6","43","23","249","124","15","28","6","4","14","34","24","659","259","522"
"総平均時間","1_週全体","0_総数","2016年","2_無業者","1_使用しなかった","09_55～59歳","","2,097","606","1,440","454","86","106","2","2","3","209","25","8","47","28","252","106","9","33","8","2","12","17","30","646","296","498"
"総平均時間","1_週全体","0_総数","2016年","2_無業者","1_使用しなかった","10_60～64歳","","5,391","1,460","1,440","457","86","111","2","5","0","186","15","6","42","36","262","93","10","48","16","9","14","13","30","654","255","530"
"総平均時間","1_週全体","0_総数","2016年","2_無業者","1_使用しなかった","11_65～69歳","","13,433","3,418","1,440","465","86","116","2","6","0","165","10","5","43","33","266","90","8","54","21","7","18","13","30","668","232","541"
"総平均時間","1_週全体","0_総数","2016年","2_無業者","1_使用しなかった","12_70～74歳","","13,728","3,708","1,440","479","94","123","1","6","1","146","5","3","39","30","266","95","8","52","23","7","19","15","27","696","203","542"
"総平均時間","1_週全体","0_総数","2016年","2_無業者","1_使用しなかった","13_75～79歳","","14,607","4,107","1,440","495","96","124","2","6","1","134","6","1","38","25","266","108","7","45","19","6","18","17","25","715","187","538"
"総平均時間","1_週全体","0_総数","2016年","2_無業者","1_使用しなかった","14_80～84歳","","13,131","3,578","1,440","523","96","127","1","5","0","115","6","1","28","20","263","135","7","38","12","4","14","20","24","746","157","537"
"総平均時間","1_週全体","0_総数","2016年","2_無業者","1_使用しなかった","15_85歳以上","","12,074","3,485","1,440","570","98","124","1","4","1","73","5","1","16","14","257","167","6","27","5","2","12","30","27","792","100","548"
"総平均時間","1_週全体","0_総数","2016年","2_無業者","1_使用しなかった","R1_(再掲)20歳以上","","79,567","22,210","1,440","500","93","120","2","5","4","134","8","6","34","26","256","118","8","43","15","5","16","18","28","713","193","534"
"総平均時間","1_週全体","0_総数","2016年","2_無業者","1_使用しなかった","R3_(再掲)65歳以上","","66,973","18,295","1,440","506","94","123","1","6","1","127","6","2","33","25","264","119","7","43","16","5","17","19","27","723","176","541"
"総平均時間","1_週全体","0_総数","2016年","2_無業者","1_使用しなかった","R4_(再掲)75歳以上","","39,812","11,170","1,440","527","97","125","1","5","1","109","6","1","28","20","262","135","7","37","13","4","15","22","26","749","150","541"
"総平均時間","1_週全体","0_総数","2016年","2_無業者","2_使用した","00_総数","","47,206","17,282","1,440","454","82","101","20","6","107","125","5","40","33","35","136","106","30","77","23","6","21","9","26","637","335","468"
"総平均時間","1_週全体","0_総数","2016年","2_無業者","2_使用した","01_15～19歳","","12,634","4,110","1,440","453","70","87","61","8","357","6","0","1","10","22","56","114","53","67","38","2","16","3","15","611","443","386"
"総平均時間","1_週全体","0_総数","2016年","2_無業者","2_使用した","02_20～24歳","","2,687","1,487","1,440","486","80","92","49","20","211","22","1","14","21","30","59","127","43","113","19","3","28","5","18","658","338","444"
"総平均時間","1_週全体","0_総数","2016年","2_無業者","2_使用した","03_25～29歳","","1,602","834","1,440","489","73","93","7","9","53","106","4","138","28","31","74","103","47","115","6","2","24","5","35","655","345","441"
"総平均時間","1_週全体","0_総数","2016年","2_無業者","2_使用した","04_30～34歳","","2,108","952","1,440","464","81","94","3","3","6","170","6","211","40","39","72","98","19","72","5","2","16","13","26","639","438","363"
"総平均時間","1_週全体","0_総数","2016年","2_無業者","2_使用した","05_35～39歳","","2,536","1,049","1,440","460","82","95","3","2","4","214","5","167","42","41","89","103","15","49","7","4","24","11","23","637","437","366"
"総平均時間","1_週全体","0_総数","2016年","2_無業者","2_使用した","06_40～44歳","","2,539","1,080","1,440","447","87","97","2","4","4","242","9","92","48","39","109","113","16","65","8","5","18","11","24","631","400","409"
"総平均時間","1_週全体","0_総数","2016年","2_無業者","2_使用した","07_45～49歳","","2,041","824","1,440","420","88","100","2","7","2","256","11","26","52","40","136","114","18","78","11","7","18","15","37","608","357","475"
"総平均時間","1_週全体","0_総数","2016年","2_無業者","2_使用した","08_50～54歳","","1,933","712","1,440","424","90","107","2","2","2","247","7","4","54","40","173","117","15","68","12","3","21","16","36","620","317","502"
"総平均時間","1_週全体","0_総数","2016年","2_無業者","2_使用した","09_55～59歳","","2,284","768","1,440","426","89","102","1","2","1","238","15","10","47","40","204","99","15","60","13","6","24","10","38","617","314","509"
"総平均時間","1_週全体","0_総数","2016年","2_無業者","2_使用した","10_60～64歳","","3,853","1,181","1,440","428","89","110","1","2","0","192","12","8","48","50","224","93","15","71","20","9","25","11","32","626","264","550"
"総平均時間","1_週全体","0_総数","2016年","2_無業者","2_使用した","11_65～69歳","","5,611","1,802","1,440","448","87","114","1","3","2","152","7","8","40","43","239","88","20","84","32","11","23","8","31","649","212","579"
"総平均時間","1_週全体","0_総数","2016年","2_無業者","2_使用した","12_70～74歳","","3,636","1,210","1,440","458","87","120","1","3","0","130","5","7","40","44","238","87","19","83","34","15","24","12","32","665","186","589"
"総平均時間","1_週全体","0_総数","2016年","2_無業者","2_使用した","13_75～79歳","","2,288","759","1,440","469","91","122","2","5","2","115","7","2","35","38","251","95","21","82","30","11","20","13","30","682","168","591"
"総平均時間","1_週全体","0_総数","2016年","2_無業者","2_使用した","14_80～84歳","","1,098","391","1,440","482","94","127","1","2","1","103","5","1","36","37","242","93","25","80","29","15","19","18","29","703","150","587"
"総平均時間","1_週全体","0_総数","2016年","2_無業者","2_使用した","15_85歳以上","","356","124","1,440","518","101","127","2","1","1","85","6","1","26","26","212","178","25","57","11","2","16","24","21","746","121","573"
"総平均時間","1_週全体","0_総数","2016年","2_無業者","2_使用した","R1_(再掲)20歳以上","","34,572","13,172","1,440","455","85","105","8","5","30","162","7","52","40","39","160","103","23","80","18","7","22","11","29","645","302","493"
"総平均時間","1_週全体","0_総数","2016年","2_無業者","2_使用した","R3_(再掲)65歳以上","","12,989","4,285","1,440","460","89","119","1","3","1","133","6","6","38","41","241","92","21","82","31","13","22","11","31","667","188","585"
"総平均時間","1_週全体","0_総数","2016年","2_無業者","2_使用した","R4_(再掲)75歳以上","","3,742","1,274","1,440","478","93","124","2","4","1","109","6","2","35","36","245","103","23","79","28","11","19","16","29","695","157","588"
"総平均時間","1_週全体","0_総数","2016年","2_無業者","21_１時間未満","00_総数","","15,632","5,383","1,440","451","87","106","10","4","58","174","8","39","40","43","164","91","24","51","21","7","21","11","31","644","333","464"
"総平均時間","1_週全体","0_総数","2016年","2_無業者","21_１時間未満","01_15～19歳","","1,715","599","1,440","443","72","89","63","6","435","5","0","1","7","24","41","75","88","32","32","1","9","3","14","604","517","319"
"総平均時間","1_週全体","0_総数","2016年","2_無業者","21_１時間未満","02_20～24歳","","198","111","1,440","497","108","94","55","11","297","20","2","2","13","28","60","107","32","30","24","2","20","22","15","698","401","340"
"総平均時間","1_週全体","0_総数","2016年","2_無業者","21_１時間未満","03_25～29歳","","223","119","1,440","496","82","84","11","15","36","124","10","136","35","45","87","100","25","57","7","0","19","5","65","662","368","410"
"総平均時間","1_週全体","0_総数","2016年","2_無業者","21_１時間未満","04_30～34歳","","454","207","1,440","477","70","96","1","2","2","181","14","253","42","43","61","72","18","33","2","2","25","15","31","643","495","302"
"総平均時間","1_週全体","0_総数","2016年","2_無業者","21_１時間未満","05_35～39歳","","797","300","1,440","463","83","94","3","1","2","230","5","202","44","46","66","93","21","20","3","3","19","12","28","640","488","311"
"総平均時間","1_週全体","0_総数","2016年","2_無業者","21_１時間未満","06_40～44歳","","915","343","1,440","456","89","99","2","3","2","276","10","128","43","47","79","79","21","35","9","8","18","5","30","644","464","332"
"総平均時間","1_週全体","0_総数","2016年","2_無業者","21_１時間未満","07_45～49歳","","768","271","1,440","419","93","99","1","1","3","291","15","34","57","44","130","100","14","35","8","5","21","19","52","611","402","427"
"総平均時間","1_週全体","0_総数","2016年","2_無業者","21_１時間未満","08_50～54歳","","822","314","1,440","419","93","108","3","2","3","267","7","4","59","41","166","113","13","45","10","2","22","22","42","619","344","477"
"総平均時間","1_週全体","0_総数","2016年","2_無業者","21_１時間未満","09_55～59歳","","1,140","373","1,440","422","90","101","1","2","0","272","14","12","50","45","183","93","17","45","15","6","26","10","36","612","352","476"
"総平均時間","1_週全体","0_総数","2016年","2_無業者","21_１時間未満","10_60～64歳","","2,056","618","1,440","430","87","109","1","3","0","208","16","9","50","57","212","87","11","56","21","8","24","10","38","626","288","526"
"総平均時間","1_週全体","0_総数","2016年","2_無業者","21_１時間未満","11_65～69歳","","2,942","915","1,440","449","88","112","2","3","0","173","8","9","44","46","231","90","15","68","27","10","27","8","29","649","240","551"
"総平均時間","1_週全体","0_総数","2016年","2_無業者","21_１時間未満","12_70～74歳","","1,830","607","1,440","461","92","118","1","2","1","154","5","10","38","49","230","84","12","73","35","12","23","12","29","671","211","559"
"総平均時間","1_週全体","0_総数","2016年","2_無業者","21_１時間未満","13_75～79歳","","1,089","372","1,440","475","94","119","2","7","2","125","7","2","36","42","248","94","13","68","28","12","22","14","30","688","180","572"
"総平均時間","1_週全体","0_総数","2016年","2_無業者","21_１時間未満","14_80～84歳","","495","163","1,440","486","97","126","1","2","0","125","6","1","34","38","245","101","17","59","34","5","19","17","27","709","169","562"
