"統計名：","平成28年社会生活基本調査 調査票Ａに基づく結果 生活時間に関する結果 生活時間編（全国）"
"表番号：","1-1"
"表題：","曜日,男女,ふだんの就業状態,スマートフォン・パソコンなどの使用時間,年齢,行動の種類別総平均時間(15歳以上)－全国"
"実施年月：","2016年","10月"

"表章項目","曜日4_071_2016A","男女3_001_2016A","時間軸(年次)","ふだんの就業状態9_007_2016A","スマートフォン・PCなどの使用時間8_085_2016A","年齢20_002_2016A","/行動の種類24_074_2016A","サンプルサイズ","推定人口【千人】","00_総数【分】","01_睡眠【分】","02_身の回りの用事【分】","03_食事【分】","04_通勤・通学【分】","05_仕事【分】","06_学業【分】","07_家事【分】","08_介護・看護【分】","09_育児【分】","10_買い物【分】","11_移動(通勤・通学を除く)【分】","12_テレビ・ラジオ・新聞・雑誌【分】","13_休養・くつろぎ【分】","14_学習・自己啓発・訓練(学業以外)【分】","15_趣味・娯楽【分】","16_スポーツ【分】","17_ボランティア活動・社会参加活動【分】","18_交際・付き合い【分】","19_受診・療養【分】","20_その他【分】","R1_（再掲）１次活動【分】","R2_（再掲）２次活動【分】","R3_（再掲）３次活動【分】"
"総平均時間","1_週全体","0_総数","2016年","0_総数","1_使用しなかった","05_35～39歳","","3,839","1,227","1,440","478","81","92","36","329","2","66","3","41","24","24","92","85","7","30","5","2","17","3","23","651","500","289"
"総平均時間","1_週全体","0_総数","2016年","0_総数","1_使用しなかった","06_40～44歳","","5,778","1,785","1,440","467","83","89","40","339","3","80","2","22","22","25","103","87","4","27","8","2","11","8","17","640","507","293"
"総平均時間","1_週全体","0_総数","2016年","0_総数","1_使用しなかった","07_45～49歳","","6,834","2,137","1,440","445","82","94","42","351","3","82","3","5","25","23","115","95","6","22","7","4","11","5","20","621","512","308"
"総平均時間","1_週全体","0_総数","2016年","0_総数","1_使用しなかった","08_50～54歳","","7,841","2,273","1,440","437","85","96","42","351","2","86","5","3","25","22","134","83","7","19","6","3","10","9","16","618","514","308"
"総平均時間","1_週全体","0_総数","2016年","0_総数","1_使用しなかった","09_55～59歳","","11,276","2,934","1,440","435","81","101","36","301","3","102","8","3","29","26","158","81","4","23","7","3","12","8","18","618","482","340"
"総平均時間","1_週全体","0_総数","2016年","0_総数","1_使用しなかった","10_60～64歳","","17,258","4,353","1,440","449","82","106","26","223","2","113","7","4","30","29","194","79","5","34","11","5","13","8","21","638","405","398"
"総平均時間","1_週全体","0_総数","2016年","0_総数","1_使用しなかった","11_65～69歳","","26,311","6,621","1,440","461","84","114","16","144","1","121","7","4","35","29","224","82","6","43","16","6","16","10","24","658","328","454"
"総平均時間","1_週全体","0_総数","2016年","0_総数","1_使用しなかった","12_70～74歳","","20,423","5,390","1,440","475","91","121","8","83","1","125","5","3","34","28","239","90","7","46","20","7","18","13","24","687","260","493"
"総平均時間","1_週全体","0_総数","2016年","0_総数","1_使用しなかった","13_75～79歳","","19,114","5,215","1,440","494","94","124","5","54","1","122","5","1","35","24","251","102","7","42","18","6","18","16","24","711","223","507"
"総平均時間","1_週全体","0_総数","2016年","0_総数","1_使用しなかった","14_80～84歳","","15,478","4,160","1,440","521","95","127","3","30","1","108","6","1","27","20","256","130","7","36","12","4","15","19","23","743","175","522"
